name,contact,address,average_price
Homefoodi,7669237937; 9582307779; 070426 40064,"Mohan Co-op Industrial Estate, Delhi, 110044",500-1200
FNV Caterers,+919811221800,"Shop C-118, Lajpat Nagar 1, South Delhi, Delhi 110024",800-1500
Ocean Pearl Catering,+919819102677,,1200
New Foxnut Catering,+91448571725,,1000
Sat-Kartar Catering,+919811125098,,1200
