name,contact,address,average_price
AISF Hall,+919899182220,"Kalka Devi Marg, National Park, Lajpat Nagar, Delhi 110024",600-800
Kamal Banquet,011 4672 6660; 098100 18473; 098100 62023,"Lajpat Nagar, Delhi",1000
Hotel Mint Oodles,9650120207,"Nehru Place, Delhi",800-1000
Royal Park Hall,011-41639995; 41639910,"Greater Kailash I, Delhi",1400-1500
Hotel Ivory 32,+91-8470804805,"Greater Kailash I, Delhi",900-1000
Kastor International,9650120207,"Greater Kailash I, Delhi",850-950
Hotel Rockland,+919871857779,"Greater Kailash I, Delhi",1200-1400
Shabnam Banquet,+918802925054,"Kalkaji, Delhi",600-800
