name,contact,address,average_price
Jagdish Store,011 4229 1100,"39, 40, 41, 43, Ring Road, Lajpat Nagar III, Near Moolchand Hospital, New Delhi",500-5000
Elen Blossoms & Greens Limited,011 4954 0000; +919152916487,"35 Link Road, New Delhi",300-3000
Wedding-e-Khas,+919990642522,,20000-100000
The Diamond Weddings,+917417368662,,25000-150000
Adamya Planners,+919525128899,,30000-200000
Narang Tents,+918441 92 8441,,10000-50000
Inder Caterers & Decorators,9310999936,,15000-75000
Goonj Weddings,+919818335808,,20000-100000
